CUSTOMERID,CUST_CONSTTYPE_ID,CUST_CATEGORYID,PROFESSION,AGE,SEX,MARITAL_STATUS,QUALIFICATION,NO_OF_DEPENDENT,OCCUPATION,POSITION,GROSS_INCOME,PRE_JOBYEARS,NETTAKEHOMEINCOME,BRANCH_PINCODE
12001000,1,5,,33,M,M,POSTGRAD,0,,,198375.2218,8,198375.2218,400070
12001001,1,5,,44,M,M,POSTGRAD,0,,,242703.9829,10,242703.9829,400070
12001002,1,7,,50,M,M,GRAD,0,,,0,,0,400070
12001003,3,4,,40,M,M,GRAD,0,,,365263.5116,,365263.5161,400070
12001004,3,4,,27,M,M,GRAD,0,,,187342.199,,187342.199,400070
12001005,3,4,,43,M,M,GRAD,0,,,53536.20823,,53536.20823,400070
12001006,3,4,,48,M,M,UG,0,,,49842.14981,,49842.1453,400070
12001007,1,5,,33,M,M,POSTGRAD,0,,AVP,123370.4837,7,123370.4837,400070
12001008,1,4,,44,M,M,GRAD,0,,,183331.9827,,183331.9872,400070
12001009,3,4,,37,M,M,UG,0,,,93803.84407,,93803.83957,400070
12001010,1,5,,30,M,M,GRAD,0,,,35880.96962,5,35880.96962,400070
12001011,1,5,,33,M,M,GRAD,0,,,63576.87454,0,63576.87454,400070
12001012,1,5,,29,M,M,GRAD,0,,,108093.2976,1,108093.2976,400070
12001013,1,5,,32,M,M,POSTGRAD,0,,AVP,331757.8472,5,331757.8472,400070
12001014,1,5,,30,M,M,POSTGRAD,0,,AVP,59535.38624,8,59535.38624,400070
12001015,1,5,,41,M,M,GRAD,0,,AVP,95156.63169,0,95156.63169,400070
12001017,1,4,,49,M,M,UG,0,,,90132.16997,,90132.16997,400070
12001018,1,5,,42,M,M,GRAD,0,,,1102122.265,14,1102122.265,400070
12001019,3,4,,34,M,M,GRAD,0,,,133719.7864,,133719.7909,400070
12001020,1,5,,32,F,S,GRAD,0,,,77097.54451,3,77097.54451,400070
12001021,1,7,,62,F,M,UG,0,,,1.5012958,,1.5012958,400070
12001022,3,4,,37,M,M,GRAD,0,,,189873.5789,,189873.5714,400070
12001023,1,5,,25,M,S,POSTGRAD,0,,AST,34409.69974,0,34409.69974,400070
12001024,1,5,,28,M,S,GRAD,0,,,49542.7614,2,49542.7614,400070
12001025,1,4,,35,M,M,GRAD,0,,,41995.11687,,41995.12137,400070
12001026,1,5,,26,M,S,GRAD,0,,SROF,78842.05023,0,78842.05023,400070
12001027,1,5,,32,M,S,POSTGRAD,0,,,90077.748,,90077.748,400070
12001028,1,5,,31,M,S,POSTGRAD,0,,,89321.09492,,0,400070
12001029,1,4,,34,M,M,UG,0,,,0,,0,400070
12001030,3,6,,25,M,M,POSTGRAD,0,,,454356.3495,,454356.3525,400070
12001031,1,4,,38,M,M,GRAD,0,,,26917440.75,,26917440.76,400070
12001033,1,4,,50,M,M,null,0,,,1206504.104,,1206504.109,400070
12001034,1,5,,28,M,S,POSTGRAD,0,,,39953.98513,,39953.98513,400070
12001035,1,5,,30,M,M,GRAD,0,,,104508.9539,,104508.9539,400070
12001036,1,5,,31,M,S,POSTGRAD,0,,MGR,78807.52043,4,78807.52043,400070
12001037,1,4,,42,M,M,GRAD,0,,,103603.0119,,103603.0164,400070
12001038,1,4,,32,M,M,GRAD,0,,,151323.1102,,151323.1102,400070
12001039,4,8,,,,,,0,,,0,,0,400070
12001040,1,4,,49,M,M,GRAD,0,,,519100.9169,,519100.9214,400070
12001041,3,4,,46,M,M,POSTGRAD,0,,,410098.4646,,410098.4646,400070
12001042,1,4,,56,M,M,GRAD,0,,,882572.1366,,882572.1411,400070
12001044,1,4,,51,M,M,GRAD,0,,,416989.4123,,416989.4123,400070
12001045,1,4,,45,M,M,GRAD,0,,,453873.1274,,453873.1229,400070
12001047,1,5,,30,M,M,POSTGRAD,0,,AGM,159005.2408,,159005.2408,400070
12001048,3,4,,37,F,M,UG,0,,,109047.1159,,109047.1204,400070
12001049,1,4,,34,F,M,POSTGRAD,0,,,326371.1978,,326371.1978,400070
12001050,3,4,,45,F,M,GRAD,0,,,149598.992,,149598.9965,400070
12001051,1,5,,37,F,M,GRAD,0,,,150129.58,,150129.58,400070
12001052,2,4,,43,F,M,GRAD,0,,,92804.22128,,92804.22578,400070
12001053,1,4,,50,F,M,POSTGRAD,0,,,583376.6447,,583376.6492,400070
12001054,1,5,,37,M,S,POSTGRAD,0,,DM,73404.35685,7,73404.35685,400070
12001055,3,4,,33,M,M,GRAD,0,,,69527.75587,,69527.76037,400070
12001056,1,5,,33,M,M,GRAD,0,,,49542.7614,,49542.7614,400070
12001058,1,5,,40,M,M,POSTGRAD,0,,,264860.1063,15,264860.1063,400070
12001059,1,5,,54,M,M,GRAD,0,,,67483.24621,19,67483.24621,400070
12001060,1,5,,47,M,M,GRAD,0,,,195188.0909,0,195188.0955,400070
12001062,1,4,,43,M,M,GRAD,0,,,611043.6496,,611043.6541,400070
12001063,1,5,,30,F,M,GRAD,0,,,1185879.062,0,1185879.058,400070
12001064,1,4,,47,M,M,GRAD,0,,,99791.13183,,99791.13183,400070
12001066,1,5,,38,M,M,GRAD,0,,,97584.227,11,97584.227,400070
12001067,1,4,,35,M,M,null,0,,,294865.0042,,294865.0042,400070
12001068,1,5,,36,M,M,null,0,,,157636.059,6,157636.059,400070
12001069,3,6,,34,M,M,POSTGRAD,0,,,81829.68893,,81829.68893,400070
12001070,4,8,,,,,,0,,,0,,0,400070
12001071,1,4,,29,M,M,OTHERS,0,,,1540694.936,,1540694.932,400070
12001072,1,5,,39,M,M,OTHERS,0,,,55040.50662,7,55040.50662,400070
12001076,1,4,,35,M,M,POSTGRAD,0,,,113813.9852,,113813.9852,400070
12001077,1,4,,32,M,S,OTHERS,0,,,103025.1782,,103025.1737,400070
12001078,1,4,,43,M,M,OTHERS,2,,,269211.1168,,269211.1123,400070
12001079,1,4,,38,F,M,GRAD,0,,,1273996.493,,1273996.489,400070
12001081,1,7,,70,M,M,OTHERS,0,,,0.120103664,,0.124607551,400070
12001082,2,8,,,,,,0,,,0,,0,400070
12001086,4,8,,,,,,0,,,0,,0,400070
12001087,4,8,,,,,,0,,,0,,0,400070
12001088,2,8,,,,,,,,,0,,0,#N/A
12001090,1,4,,40,M,M,GRAD,0,,,1164695.148,,1164695.148,400070
12001091,1,5,,31,M,M,POSTGRAD,2,,AVP,45478.75367,8,45478.75367,400070
12001092,1,4,,45,M,M,GRAD,2,,,131453.4602,,131453.4602,400070
12001093,1,5,,31,M,M,PRF,1,,,117922.2812,1,117922.2812,400070
12001094,1,4,,40,M,M,GRAD,2,,,179744.141,,179744.141,400070
12001096,1,4,,26,M,S,GRAD,0,,,465401.698,,465401.698,400070
12001098,1,4,,54,M,M,GRAD,0,,,569767.158,,569767.1535,400070
12001099,4,8,,,,,,0,,,0,,0,110001
12001102,1,4,,59,F,M,GRAD,0,,,3936067.303,,3936067.303,400070
12001103,1,4,,52,M,M,UG,0,,,100522.2629,,100522.2629,400070
12001104,1,4,,39,M,M,PRF,1,,,109258.3031,,109258.3031,400070
12001105,1,4,,35,M,M,POSTGRAD,0,,,368943.563,,368943.5675,400070
12001106,4,8,,,,,,0,,,0,,0,400070
12001107,1,4,,50,M,M,GRAD,0,,,109830.2968,,109830.2968,400070
12001108,1,4,,49,M,S,GRAD,1,,,49431.66551,,49431.66551,400070
12001109,6,8,,,,,,,,,0,,0,#N/A
12001110,1,4,,48,F,M,GRAD,1,,,403258.561,,403258.561,110001
12001111,1,5,,51,M,M,GRAD,1,,,95902.7757,30,95902.7757,560095
12001121,1,4,,47,M,M,POSTGRAD,2,,,2558473.773,,2558473.773,110001
12001123,1,4,,38,M,M,GRAD,0,,,201371.8082,,201371.8082,400070
12001124,1,5,,38,M,M,POSTGRAD,2,,,0,,0,400070
12001125,1,5,,29,M,M,UG,1,,,48828.1446,1,48828.1446,400070
12001126,1,5,,35,M,M,GRAD,2,,,505851.1107,3,505851.1107,400070
12001128,1,4,,55,M,S,GRAD,1,,,112957.496,,112957.496,400070
12001129,1,5,,27,M,M,POSTGRAD,0,,,114027.9199,2,114027.9199,400070
12001130,4,8,,,,,,0,,,0,,0,400070
12001134,1,4,,34,M,M,GRAD,2,,,313616.1887,,313616.1887,400070
12001135,1,4,,57,M,M,GRAD,2,,,172925.2554,,172925.2554,400070
12001136,1,5,,25,M,S,GRAD,0,,,131941.3814,5,131941.3814,400070
12001137,1,4,,34,M,M,GRAD,2,,,101314.9471,,101314.9471,110001
12001140,1,4,,51,M,M,GRAD,1,,,580276.3487,,580276.3487,400070
12001141,1,5,,52,M,M,PRF,3,,,152464.095,0,152464.095,400070
12001142,1,5,,36,M,M,GRAD,4,,,121150.0672,6,121150.0672,400070
12001143,1,4,,38,M,M,GRAD,0,,,522465.9514,,522465.9514,400070
12001144,1,4,,41,M,M,GRAD,1,,,339816.803,,339816.803,400070
12001145,1,4,,48,M,M,GRAD,0,,,0,,0,411005
12001146,1,4,,35,M,M,POSTGRAD,0,,,96383.38553,,96383.38553,400070
12001147,1,5,,27,M,S,GRAD,0,,,109303.342,4,109303.342,560095
12001148,1,4,,38,M,M,POSTGRAD,1,,,0,,0,400070
12001149,4,8,,,,,,0,,,0,,0,400070
12001138,1,4,,40,F,M,GRAD,0,,,101157.311,,101157.311,411005
12001152,1,6,,38,F,S,PRF,0,,,85419.22713,,85419.22713,110001
12001153,1,5,,34,M,M,GRAD,2,,,231535.8435,4,231535.8435,400070
12001154,1,5,,42,M,M,PRF,2,,DGM,231002.8835,16,231002.8835,110001
12001155,1,4,,50,F,M,GRAD,10,,,2623211.149,,2623211.149,400070
12001156,1,5,,36,M,M,POSTGRAD,1,,,293224.0879,0,293224.0879,560095
12001157,1,4,,42,M,M,UG,0,,,169829.5835,,169829.5835,400070
12001158,1,6,,32,M,M,PRF,0,,,3524716.757,,3524716.757,400070
12001159,4,8,,,,,,0,,,0,,0,110001
12001162,1,5,,30,F,M,GRAD,1,,,16622.3471,7,16622.3471,400070
12001163,1,4,,44,M,M,GRAD,0,,,61713.76645,,61713.76645,400070
12001164,1,4,,31,F,M,GRAD,1,,,1090859.544,,1090859.544,560095
12001166,1,5,,43,M,M,GRAD,4,,,272410.1229,21,272410.1229,400070
12001167,1,5,,53,M,M,UG,2,,,0,,0,400070
12001168,1,5,,33,M,M,GRAD,0,,,0,,0,400070
12001169,1,4,,43,M,M,GRAD,2,,,383231.275,,383231.275,400070
12001171,1,4,,47,M,M,GRAD,0,,,2753936.736,,2753936.731,400070
12001173,1,4,,31,M,M,GRAD,0,,,205069.4998,,205069.4998,400070
12001174,1,5,,42,M,M,POSTGRAD,3,,,483080.9573,20,483080.9573,400070
12001178,1,5,,30,M,M,POSTGRAD,1,,,198387.2322,4,198387.2322,411005
12001179,1,4,,55,M,M,GRAD,0,,,108286.094,,108286.0895,411005
12001180,1,4,,39,M,M,GRAD,0,,,255745.7395,,255745.7395,411005
12001182,1,5,,34,M,M,GRAD,1,,,251300.4027,0,251300.4027,560095
12001183,1,4,,50,F,M,GRAD,2,,,195157.5546,,195157.5531,400070
12001184,1,4,,43,M,M,UG,2,,,85967.2001,,85967.2001,411005
12001185,1,5,,43,M,M,POSTGRAD,2,,,936433.2553,9,936433.2553,110001
12001186,1,5,,53,M,M,GRAD,3,,,94469.03822,19,94469.03822,110001
12001187,4,8,,,,,,0,,,0,,0,400070
12001188,1,4,,39,M,M,UG,2,,,0,,0,400070
12001189,1,4,,40,M,M,GRAD,2,,,320190.363,,320190.363,400070
12001190,1,6,,37,M,M,POSTGRAD,2,,,0,,0,400070
12001191,1,4,,52,M,M,UG,1,,,145008.66,,145008.66,400070
12001198,1,5,,24,M,S,PRF,0,,,40182.18209,0,40182.18209,380015
12001199,1,5,,35,M,M,PRF,3,,,97362.03522,9,97362.03522,400070
12001201,1,4,,54,M,M,UG,0,,,923520.6101,,0,400070
12001202,1,4,,40,M,M,GRAD,3,,,21018.1412,12,21018.1412,400070
12001204,1,4,,38,M,M,POSTGRAD,1,,,415144.3198,,415144.3198,400070
12001205,1,4,,57,M,M,GRAD,1,,,137743.8897,,137743.8897,411005
12001206,1,5,,31,M,S,GRAD,0,,,144738.4268,4,144738.4268,411005
12001208,1,5,,28,M,S,POSTGRAD,2,,,100932.1166,0,100932.1166,560095
12001209,1,5,,28,M,M,GRAD,0,,,78071.88549,3,78071.88549,400070
12001210,1,4,,34,F,S,PRF,2,,,188035.7977,,188035.7977,400070
12001212,1,6,,45,M,M,PRF,0,,,1247395.153,,1247395.153,400070
12001213,4,8,,,,,,,,,0,,0,#N/A
12001215,1,5,,33,M,M,GRAD,2,,,136472.2921,0,136472.2921,380015
12001217,1,4,,43,M,M,OTHERS,0,,,27760.08531,,27760.08531,400070
12001218,1,4,,37,M,M,GRAD,2,,,282275.1376,,282275.1376,400070
12001219,1,4,,30,M,S,POSTGRAD,0,,,0,,0,560095
12001220,4,8,,,,,,0,,,0,,0,110001
12001221,1,5,,51,M,M,POSTGRAD,1,,,109657.6478,0,109657.6478,380015
12001225,1,6,,56,M,M,PRF,2,,,101756.328,,101756.328,411005
12001226,1,4,,39,M,M,GRAD,4,,,137123.4792,,137123.4792,400070
12001227,1,4,,31,M,M,UG,1,,,193390.9198,,193390.9198,411005
12001228,1,4,,29,M,S,GRAD,0,,,84422.36672,,84422.36672,560095
12001229,1,4,,30,M,M,GRAD,0,,,30596.4084,,30596.4084,411005
12001230,1,4,,39,M,M,GRAD,0,,,719227.2802,,719227.2802,400070
12001231,1,5,,41,M,M,GRAD,1,,,134591.1685,13,134591.1685,400070
12001233,1,4,,59,M,M,GRAD,0,,,623405.5745,,623405.5745,400070
12001234,1,4,,31,M,M,GRAD,0,,,306542.0829,,306542.0829,400070
12001235,1,4,,36,M,M,GRAD,0,,,147305.6426,,147305.6426,400070
12001236,1,5,,27,M,S,POSTGRAD,0,,,56204.01086,0,56204.01086,400070
12001237,1,4,,43,M,M,GRAD,2,,,0,,0,400070
12001238,1,4,,42,M,M,GRAD,0,,,68062.74639,,68062.74639,400070
12001240,4,8,,,,,,0,,,0,,0,400070
12001244,1,5,,43,M,M,GRAD,0,,,222341.908,15,222341.908,411005
12001247,1,5,,25,M,M,GRAD,0,,,95542.46471,0,95542.46471,560095
12001248,1,5,,52,F,M,GRAD,0,,,269002.1814,14,269002.1814,400070
12001249,1,4,,35,M,M,GRAD,2,,,154525.3741,,154525.3741,400070
12001252,1,5,,50,M,M,UG,2,,,47729.19607,0,47729.19607,560095
12001253,1,5,,30,M,M,POSTGRAD,0,,,51623.55738,,51623.55738,411005
12001254,1,4,,41,M,M,GRAD,0,,,44036.00841,,44036.00841,411005
12001255,1,5,,34,M,M,POSTGRAD,0,,,35656.15057,,35656.15057,110001
12001256,1,4,,55,M,M,POSTGRAD,1,,,1607033.564,,1607033.564,400070
12001257,1,4,,36,M,M,GRAD,0,,,22552.84083,,22552.84083,560095
12001258,1,5,,32,M,M,GRAD,0,,,108093.2976,8,108093.2976,400070
12001259,1,4,,33,M,M,GRAD,0,,,332600.3293,,332600.3248,400070
12001260,3,4,,38,M,M,POSTGRAD,0,,,78951.64483,,78951.64483,400070
12001261,1,4,,50,M,M,OTHERS,0,,,107468.7585,,107468.7585,411005
12001262,1,5,,31,M,M,GRAD,1,,,47672.14683,4,47672.14683,411005
12001263,1,5,,36,M,S,GRAD,0,,,79250.40269,1,79250.40269,400070
12001264,1,4,,47,M,M,POSTGRAD,0,,,81684.87393,,81684.87844,560095
12001265,1,5,,28,M,M,GRAD,0,,,23194.26946,,23194.26946,110001
12001267,1,4,,27,M,M,GRAD,1,,,17493.09866,,17493.09866,400070
12001266,1,5,,37,M,M,GRAD,0,,,185261.403,10,185261.403,400070
12001268,1,4,,42,M,M,GRAD,0,,,54681.69692,,54681.69692,411005
12001270,1,4,,48,M,M,GRAD,0,,,64654.80492,,64654.80492,411005
12001272,1,5,,25,M,M,PRF,1,,,24936.52324,2,24936.52324,380015
12001273,1,4,,30,M,M,GRAD,3,,,52290.13271,7,52290.13271,400070
12001274,1,4,,31,M,M,GRAD,2,,,32902.39875,,32902.39875,380015
12001275,1,4,,29,M,S,GRAD,0,,,125301.1501,,125301.1501,400070
12001276,1,4,,45,M,M,GRAD,0,,,360345.5218,,360345.5218,400070
12001277,1,5,,32,M,M,GRAD,0,,,206773.4705,5,206773.4705,400070
12001278,1,4,,49,M,M,GRAD,0,,,112597.185,,112597.185,380015
12001279,1,5,,28,M,S,POSTGRAD,0,,,0,,0,400070
12001280,1,6,,53,M,M,PRF,2,,,34886.58635,,34886.57884,110001
12001281,1,4,,39,M,M,UG,0,,,57121.3026,,57121.3026,400070
12001282,1,5,,30,M,M,PRF,2,,,171303.856,0,171303.856,560095
12001285,1,5,,56,M,M,GRAD,0,,,70350.72119,,70350.72119,380015
12001286,1,4,,34,F,M,GRAD,0,,,32026.76798,3,32026.76798,500034
12001287,1,5,,38,F,M,UG,0,,,62701.61909,11,62701.61909,400070
12001288,1,4,,39,M,M,GRAD,0,,,333399.9345,,333399.9345,400070
12001289,1,5,,39,M,M,GRAD,0,,,172649.017,6,172649.017,400070
12001304,4,8,,,,,,0,,,0,,0,400070
12001305,1,4,,34,M,M,UG,0,,,223003.9794,,223003.9794,411005
12001306,1,5,,36,M,M,GRAD,0,,,45098.92583,7,45098.92583,411005
12001307,1,4,,48,M,M,GRAD,0,,,53481.03561,,53481.03561,110001
12001308,1,4,,44,M,M,UG,2,,,29625.07002,,29625.07002,400070
12001309,1,4,,30,M,M,UG,2,,,38961.07312,,38961.07312,400070
12001310,1,5,,41,M,M,POSTGRAD,0,,,0,,0,110001
12001311,1,4,,54,M,M,PRF,3,,,1726490.17,,1726490.17,400070
12001312,1,5,,28,M,S,POSTGRAD,2,,,32748.39583,,32748.39133,400070
12001313,1,4,,42,M,M,UG,3,,,472909.6783,,472909.6783,400070
12001314,1,4,,44,M,M,UG,1,,,69661.62642,,69661.62642,400070
12001315,1,4,,56,M,M,GRAD,1,,,207522.6171,,207522.6171,400070
12001316,1,4,,48,M,M,OTHERS,0,,,4127027.624,,4127027.624,411005
12001317,4,8,,,,,,0,,,0,,0,411005
12001318,1,4,,51,M,M,UG,0,,,63725.50282,,63725.50282,411005
12001319,1,4,,70,M,M,POSTGRAD,1,,,622907.8499,,622907.8499,110001
12001321,1,6,,43,M,M,PRF,0,,,122206.9794,,122206.9794,400070
12001322,1,4,,45,M,M,GRAD,0,,,17035.08334,,17035.07884,400070
12001323,1,4,,44,M,M,POSTGRAD,0,,,1974166.325,,1974166.32,400070
12001324,1,5,,36,M,M,OTHERS,0,,,169879.1262,,169879.1262,411005
12001327,1,4,,57,M,M,GRAD,0,,,0,,0,380015
12001329,1,4,,26,M,S,OTHERS,0,,,76552.57414,,76552.57414,380015
12001330,1,4,,42,M,M,GRAD,0,,,0,,0,380015
12001332,1,5,,38,M,M,GRAD,0,,,0,,0,560095
12001333,1,4,,41,M,M,GRAD,2,,,180179.8921,,180179.8921,110001
