TicketId,Type,SubType,Status,Date,Preprocessed_EmailBody,Preprocessed_Subject,Masked_CustomerID,Masked_AgreementID
571910,REQUEST,PROVISIONAL IT CERTIFICATE,Close,2019-01-23 16:34:00,"hi team, can you please provide me itcertificate,form 99c & loan certificate for the year 9999-99. i need it for tax proof submissionpurposes by this thursday 99/99/9999. please provide it to me before that. my details areas follows. name - atul lau maladkar loan account number - loannumber sanction date - 99-dec-9999 your timely help is highly appreciated. atul l m loannumber 9",loan account number - loannumber,12020736,0
572747,REQUEST,SOA,Close,2019-01-24 16:05:00,hi team can you please arrange the certificate of interest and principal for the above captioned loan for the 9st april year 9999 to 99st march 9999.,certificate of interest and principal for home loan loannumber,12019080,0
4622,General,Others,Close,2016-02-12 13:40:00,,re: repaysch : loan number loannumber,12004815,0
4674,REQUEST,SOA,Close,2016-02-12 15:41:00,"dear sir, you for your promptreply, please note that in the attach letter, the amount is not mentioned, its blank. kindly insert the figures & resend us.",re: finalit : loan number loannumber,12005158,11230237
4681,QUERY,CHANGEOFROI,Close,2016-02-12 15:55:00,"dear sachin, for your mail. this seems a great offer. but what about the roi (99.99%) you have been charging us since oct 9999. will that also be adjusted and why 99999/- switch fee kindly revert or call me for a discussion. vikas bafna director tribal zone fashion accessories pvt. ltd. 99 ratna jyot ind. premises, irla lane, vile parle (w), mumbai 999999. mob - 99999999999. 
 on wed, feb 99, 9999 at 9:99 pm, homeservice < EmailID > wrote: 
 
 
 
 dear customer,",re: fw: repaysch : loan number loannumber,12001022,0
4736,QUERY,TDSREIMBRELATED,Close,2016-02-12 18:00:00,"sir / madam, we have already send tds certificate of 9 st and 9 nd quarter for f.y.9999-99. and received tds reimbursement amount for 9 nd quarter only. 9 st quarter tds reimbursement amount is pending. pls find attached the mail copy which was already send with attachment of tds certificate with digital signature. request you to pls reimburse the 9 st quarter tds amount.",re: process for tds refund,12005516,0
4779,REQUEST,FORECLOSURE,Close,2016-02-12 19:36:00,sent from samsung mobile,,12004239,0
5201,REQUEST,REPAYMENT SCHEDULE,Close,2016-02-13 12:40:00,"loannumber 
pls send me statement of account and remaining period of emi 
we also want to know the balance amt of loan n repayment of schedule",loannumber,12001518,0
6033,General,Others,Close,2016-02-14 22:50:00,"dear sir ,

i have home loan account no loannumber in this account we need share certificate of aditya co operative housing society this share certificate to transfer of my name sanjay vaidh. in that society office kindly handover for 99 days and we will give you back.
 sanjay vaidh=",loan no. loannumber sanjay vaidh,12007167,0
6310,REQUEST,FORECLOSURE,Close,2016-02-15 11:20:00,"to, 
 edelweiss housing finance
limited 
 
 ref :- home loan a/c no. - loannumber 
 
 this is with reference to the
above , you are kindly requested to send us foreclosure letter for the above
home loan a/c. 
 
 please do the needful. 
 
 
 
 &",foreclosure letter ( home loan a/c no - loannumber ),12007184,0
6316,QUERY,CHANGEOFROI,Close,2016-02-15 11:40:00,"hi sachin waiting for your reply vikas bafna tribal zone on 99-feb-9999, at 9:99 pm, vikas bafna < EmailID > wrote: dear sachin, for your mail. this seems a great offer. but what about the roi (99.99%) you have been charging us since oct 9999. will that also be adjusted and why 99999/- switch fee kindly revert or call me for a discussion. vikas bafna director tribal zone fashion accessories pvt. ltd. 99 ratna jyot ind. premises, irla lane, vile parle (w), mumbai 999999. mob - 99999999999. 
 on wed, feb 99, 9999 at 9:99 pm, homeservice < EmailID > wrote: 
 
 
 
 dear customer,",re: repaysch : loan number loannumber,12001022,0
6321,REQUEST,FORECLOSURE,Close,2016-02-15 11:55:00,"hi team, 
 
 pls send the revised foreclosure documents / statements asap.",re: loannumber,12003088,0
6334,REQUEST,FORECLOSURE,Close,2016-02-15 12:35:00,"hi, 
 
 kindly issue the foreclosure letter for loan account no loannumber & loannumber as i am getting better roi from other financial institution",foreclosure letter ramesh prajapati loan a/c # loannumber,12001529,0
6339,QUERY,TDSREIMBRELATED,Close,2016-02-15 13:05:00,"dear sir, 
 
 
 
 
 
 
 
 
 
 
 pleaase transfer the required funds against 
 tds in our current account of dhanlaxmi bank 
 tds certificate enclosed herewith. 
 
 parmjit gandhi",ptc enginnering india pvt ltd form 99a 99q q9 99- 99,12007090,0
6343,REQUEST,FINAL IT CERTIFICATE,Close,2016-02-15 13:50:00,"hi, i'll really appreciate if this can be sent today.",re: [ticketid:rf9999]interest certificate,12005614,0
6351,REQUEST,LISTOFDOCS,Close,2016-02-15 15:00:00,"team, please confirm if you have received the share certificate.",re: lod : loan number loannumber,12004135,0
6356,General,Others,Close,2016-02-15 15:30:00,"sir/madam, i you for support with housing finance bearing account no. loannumber . further i note to inform you that i am presently enjoying housing finance from central bank of india, hyderabad main branch sanctioned during march, 9999. the present outstanding is around rs.99 lacs. present request: i request for take over with top up for an additional loan of rs.99 lacs. the market value of the said property is around rs.99 lacs. the said property is an independent house situated at balapur x roads, admeasuring 999 sq. yards. awaiting for your quick response in the matter.",housing loan - take over,12008371,0
6363,Unassigned,Unassigned,Close,2016-02-15 16:15:00,- loan a/c no loannumber with reference to the above we have loan account with you since long time and now we want to pay full amount of the outstanding of the said loan. we are requuetsing you to kindly reduce the foreclosure charges for the full payment of the said loan as. we are having long relationship with you so we are humbly requesting you kindly reduce the foreclosure charges and oblideg,enclosure of lap,12002230,0
6379,REQUEST,LISTOFDOCS,Close,2016-02-15 18:30:00,"date:- 99/99/9999 dear, sir/madam, i am meenal rajesh kachare . please give me all document list in your back castadi it is very urgent for me please..",about document,12002223,11222853
6381,REQUEST,LISTOFDOCS,Close,2016-02-15 18:35:00,"EmailID date:- 99/99/9999 dear, sir/madam, i am meenal rajesh kachare . please give me all document list in your back castadi it is very urgent for me please..",fwd: about document,12002223,11222853
6383,REQUEST,SOA,Close,2016-02-15 18:45:00,"i'm ananda das. my loan account no. loannumber . i want to know my acc. statements in details, and send me my list of docoments.","i want to know my up to date account statement, and details of list of docoments",12005871,0
6410,REQUEST,PREPAYEMICHNG,Close,2016-02-16 13:37:00,sir we have done another rtgs for 9 lacs with utr no. loannumber .please check and confirn,pre payment,12003492,0
6419,REQUEST,FORECLOSURE,Close,2016-02-16 15:17:00,"ecl finance ltd dear sir/madam ref: loan a/c no. loannumber with reference to above loan a/c no,we would like to closed & pay the entire amount of loan a/c outstanding as on today..so please mail us full & final amount payable to you. treat as most urgent & send final amount payable to you by mail. along with complete details with ledger a/c.so we can revert back to you immediately. for adinath bath fitt pvt.ltd. harish jain (director) m:9999999999",loan closer amt.need,12002770,0
6421,REQUEST,SOA,Close,2016-02-16 15:27:00,"respected sir, please send me a ledger till date of suyog and company",ledger required,12002251,11222992
6425,QUERY,CHANGEOFROI,Close,2016-02-16 16:12:00,"sir, 
 we request you to kindly make roi of99.99% 
instead of 99.99% 
 
 awaiting your confirmation.",re: loan no. loannumber,12001834,0
6429,REQUEST,FORECLOSURE,Close,2016-02-16 16:37:00,"dear sir, 
 
 please find attached herewith
letter received from your company dated 99.99.9999, which mentioned very
clearly nil charges after 9 months of disbursement & we
have taken loan in the month of april 9999, hence we have completed above six
months on this loan. so we are applicable for nil penalty . 
 
 kindly relook & resent
foreclosure letter without any penalty. 
 
 please do the needful. 
 
 &",re: foreclosure letter ( home loan a/c no - loannumber ),12007184,0
6431,REQUEST,FORECLOSURE,Close,2016-02-16 17:02:00,"dear sir, request you to please issue a fresh foreclosure letter with the present outstanding as on date so that i can make my payment asap multi electronics shop no.9, 999 abid house, lamington road, grant rd(e), mumbai-999999(maharastra) india. cell: 9999999999 email: EmailID on tuesday, 99 january 9999 9:99 pm, homeservice < EmailID > wrote: 
 
 
 
 dear customer,",re: requirement_ loannumber,12004491,0
6433,REQUEST,REPAYMENT SCHEDULE,Close,2016-02-16 17:22:00,"kind attn.:- sachin sail dear sir, you are requested to kindly send loan repayment schedule of loan no. loannumber to our email id.:- EmailID . &",required repayment schedule- loan no. loannumber,12002355,0
6437,REQUEST,FORECLOSURE,Close,2016-02-16 18:07:00,"dear sir/madam, you very much for accepting our request. &",re: change of roi : loan number loannumber,12002279,0
6442,REQUEST,SOA,Close,2016-02-16 19:22:00,"hi
plz send the statment of loan a/c no loannumber",statment,12002044,0
6449,QUERY,CHANGEOFROI,Close,2016-02-17 08:50:00,"hello, pls. find attachment its request for revised interest rate ashish --",request revise interest rate..,12001240,0
6465,REQUEST,REPAYMENT SCHEDULE,Close,2016-02-17 12:10:00,"its already more then 99 days yet we have not any reply from your end on wed, feb 99, 9999 at 99:99 pm, < EmailID > wrote: :-:*:-: note: if you reply, all text following this line will be ignored.",re: [ticketid:rf9999]re: fw: fw: reducing interest rates_ loannumber,12003942,0
6467,General,Others,Close,2016-02-17 12:45:00,"dear sir, 
 
 i (rajinder kr. sondhi)authorized mr. ahibhusan bhattacharya, with having voter id card, 
 his voter card no. is nah9999999 , to do all formality , on behalf of me . 
 
 
 
with",auth. letter,12002368,0
6471,REQUEST,LISTOFDOCS,Close,2016-02-17 13:25:00,"awaiting for your revert. 
 on apr 9, 9999 99:99 pm, ""nitin bhujbal"" < EmailID > wrote: dear sir, 
 please provide the track foreclosing loan amount letter & interest certificate on urgent basis. 
 &","re:re: [ticketid:rf9999]re: fw: require track record, foreclosing amount, list of documents",12004337,0
6477,QUERY,CHANGEOFROI,Close,2016-02-17 16:20:00,"confirming the same. kindly let us know the next step. bhartbhai, release the cheque. vikas bafna tribal zone on 99-feb-9999, at 9:99 pm, homeservice < EmailID > wrote: 
 
 
 
 
 
 dear customer,",re: repaysch : loan number loannumber,12001022,0
6481,REQUEST,FORECLOSURE,Close,2016-02-17 17:30:00,"dear customer,",re: re:[ticketid:rf9999]foreclosure letter of loan ac no ldel9h9999999999,12004655,0
6489,General,Others,Close,2016-02-17 23:20:00,"i am not accessing my emails. i am in leave from 99th feb to 99nd feb. will be back to office on 99rd feb 9999. :-:*:-: note: if you reply, all text following this line will be ignored.",re:[ticketid:rf9999]re: part payment: loan number loannumber,12001960,0
6493,REQUEST,PROVISIONAL IT CERTIFICATE,Close,2016-02-18 08:59:00,"dear sir, as per your request self has attached letter and id proff please do the need full in changing my mail id and sending it declaration form. please change the mail id to EmailID -- do not let what you cannot do interfere with what you can do.",request for change of mail id and it declaration form,12004372,11229353
6495,REQUEST,LISTOFDOCS,Close,2016-02-18 08:59:00,"< EmailID > 
 
 
 dear customer, ref no : loan number loannumber",fwd: lod : loan number loannumber,12006614,0
6501,REQUEST,FORECLOSURE,Close,2016-02-18 11:49:00,"sir, we require foreclosure statement amit -- desai infra projects (india) pvt. ltd. 
 off.no. 999, 9rd floor, gera no.99 (building), near bishop school, ramwadi naka, kalayaninagar, pune. 999999. 
 ph. 999-99999999 ; 99999999",reuuirement of foreclouser,12002269,11223007
6509,REQUEST,REPAYMENT SCHEDULE,Close,2016-02-18 12:54:00,"on thursday, 99 february 9999, 99:99, joseph abraham < EmailID > wrote: dear sir, for your statement, but we need the statement as the format of 
amortization schedule and not the actual statement . we request
you to kindly provide the statement as the format of amortization 
schedule. informing you the above.",fw: repaysch : loan number loannumber,12004859,0
6511,REQUEST,SOA,Close,2016-02-18 12:59:00,"dear sir, this is to inform you that we have received amortization schedule statement of a/c no. loannumber . for the same but not received the statement of loan no. loannumber . requesting you to kindly provide the same.",re: [ticketid:rf9999]fw: repaysch : loan number loannumber,12004859,0
6525,REQUEST,REPAYMENT SCHEDULE,Close,2016-02-18 15:35:00,"dear sir, this is to inform you that we have received 
 amortization schedule statement of a/c no. loannumber . 
for the same but not received the statement of loan no. 
 loannumber . requesting you to kindly provide the same.",requirement of amortization schedule statement of a/c no. loannumber .,12004859,0
6533,REQUEST,FORECLOSURE,Close,2016-02-18 17:45:00,"dear sir, 
 this is regarding my loan a/c no. loannumber .please issue my foreclosure letter at earliest.",request for issuing foreclosure letter,12004092,0
6538,REQUEST,REPAYMENT SCHEDULE,Close,2016-02-18 23:30:00,"on thursday, 99 february 9999 99:99 pm, "" EmailID "" < EmailID > wrote: sir i have not yet received my new loan repayment schedule, plzmake it available asap nitin manglik :-:*:-: note: if you reply, all text following this line will be ignored.",re: [ticketid:rf9999]request for repayment schedule,12003069,0
